企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
MUFGカード,ISTJ,"ESTJ, ENTJ, ISTP",https://www.cr.mufg.jp/,金融（クレジットカード）,大規模,安定・金融志向,フレックス制・リモート可,金融知識・データ分析,年功序列,,,,,,,,,,,
NECソリューションイノベータ,INTJ,"ENTP, INTP, INFJ",https://www.nec-solutioninnovators.co.jp/,IT・SI,大規模,技術志向・安定,フレックス制・リモート可,システム開発・PMスキル,年功序列＋成果評価,,,,,,,,,,,
NECネッツエスアイ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nesic.co.jp/,IT・ネットワーク,大規模,技術志向・チームワーク重視,フレックス制・リモート可,ネットワーク技術・インフラ構築,成果主義,,,,,,,,,,,
NECパーソナルコンピュータ,ISTJ,"ESTJ, ENTJ, ISTP",https://nec-lavie.jp/,IT・ハードウェア,中規模,技術志向・安定,フレックス制・リモート可,組み込み開発・製品設計,年功序列＋成果評価,,,,,,,,,,,
NECプラットフォームズ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.necplatforms.co.jp/,IT・通信,大規模,技術志向,フレックス制,通信技術・システム開発,年功序列＋成果主義,,,,,,,,,,,
Netflix Japan,ENFP,"INFJ, ENTP, ENTJ",https://www.netflix.com/jp/,エンターテインメント,大規模,クリエイティブ・自由,フルリモート可,映像制作・コンテンツ企画,成果主義,,,,,,,,,,,
NHK,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nhk.or.jp/,放送・メディア,大規模,安定志向・公共性,シフト制,報道・番組制作,年功序列,,,,,,,,,,,
NHN PlayArt,ENFP,"INFJ, ENTP, ENTJ",https://www.nhn-playart.com/,ゲーム,中規模,技術志向・クリエイティブ,フレックス制・リモート可,ゲーム開発・デザイン,成果主義,,,,,,,,,,,
note株式会社,ENFP,"INFJ, ENTP, ENTJ",https://note.jp/,IT・メディア,中規模,イノベーション・自由,フルリモート可,ライティング・マーケティング,実力主義,,,,,,,,,,,
NTTコミュニケーションズ,INTJ,"ENTP, INTP, INFJ",https://www.ntt.com/,IT・通信,大規模,技術志向・安定,フレックス制・リモート可,ネットワーク技術・クラウド,年功序列＋成果評価,,,,,,,,,,,
NTTデータイントラマート,INTJ,"ENTP, INTP, INFJ",https://www.intra-mart.jp/,IT・SI,中規模,技術志向・チームワーク重視,フレックス制・リモート可,システム開発・PMスキル,成果主義,,,,,,,,,,,
NTTデータ経営研究所,INTJ,"ENTP, INTP, INFJ",https://www.nttdata-strategy.com/,コンサル,大規模,論理的思考・分析志向,フレックス制・リモート可,データ分析・経営戦略,実力主義,,,,,,,,,,,
NTTドコモCS,INTJ,"ENTP, INTP, INFJ",https://www.docomo-cs.co.jp/,IT・通信,大規模,安定志向・サービス重視,シフト制・一部リモート可,通信技術・カスタマーサポート,年功序列,,,,,,,,,,,
NTT都市開発,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nttud.co.jp/,不動産,大規模,安定・長期キャリア志向,フレックス制・リモート可,都市計画・不動産開発,年功序列＋成果評価,,,,,,,,,,,
NTT都市開発リート,ISTJ,"ESTJ, ENTJ, ISTP",https://www.nud-reit.co.jp/,不動産投資,中規模,金融志向・安定,フレックス制・リモート可,投資管理・ファンド運用,成果主義,,,,,,,,,,,
Offers（エンジニア特化）,INTP,"INTJ, ENTP, INFP",https://offers.jp/,人材・エンジニア転職,小規模,スタートアップ・技術志向,フルリモート可,プログラミング・エンジニア採用,成果主義,,,,,,,,,,,
PayPay,ENTP,"INFJ, ENFP, INTJ",https://paypay.ne.jp/,フィンテック,大規模,グローバル・イノベーション志向,フレックス制・リモート可,デジタル決済・マーケティング,成果主義,,,,,,,,,,,
Pioneer,ISTJ,"ESTJ, ENTJ, ISTP",https://jpn.pioneer/ja/,エレクトロニクス,大規模,技術志向・イノベーション,フレックス制・リモート可,音響・自動車技術,年功序列＋成果評価,,,,,,,,,,,
Production I.G,INFJ,"ENFP, INTJ, ENTJ",https://www.production-ig.co.jp/,アニメ制作,中規模,クリエイティブ・成果主義,プロジェクト単位,アニメ制作・映像編集,成果主義,,,,,,,,,,,
PwC Japan,ENTJ,"ESTJ, ENTP, INTJ",https://www.pwc.com/jp/ja.html,コンサルティング,大規模,プロフェッショナル・分析志向,フレックス制・リモート可,経営戦略・財務分析,成果主義,,,,,,,,,,,
ROHM Semiconductor,ISTP,"ESTP, ISTJ, ESTJ",https://www.rohm.co.jp/,半導体,大規模,技術志向・安定,フレックス制・リモート可,半導体技術・製造,年功序列＋成果評価,,,,,,,,,,,
SAP Japan,INTJ,"ENTP, INTP, INFJ",https://www.sap.com/japan/index.html,IT・ERPソリューション,大規模,グローバル・技術志向,フレックス制・リモート可,ERP・システム開発,成果主義,,,,,,,,,,,
SBIネオモバイル証券,INTJ,"ENTP, INTP, INFJ",https://www.sbineomobile.co.jp/,金融・証券,中規模,フィンテック・成長志向,フレックス制・リモート可,証券取引・マーケティング,成果主義,,,,,,,,,,,
SBIホールディングス,ENTJ,"ESTJ, ENTP, INTJ",https://www.sbigroup.co.jp/,金融・投資,大規模,金融志向・グローバル,フレックス制・リモート可,投資・資産運用,成果主義,,,,,,,,,,,
SBI証券,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sbisec.co.jp/,金融・証券,大規模,データドリブン・分析志向,フレックス制・リモート可,証券分析・投資運用,成果主義,,,,,,,,,,,
SGホールディングス,ESTJ,"ENTP, ISTJ, ENTJ",https://www.sg-hldgs.co.jp/,物流,大規模,安定志向・効率重視,シフト制・一部リモート可,ロジスティクス・配送管理,年功序列＋成果評価,,,,,,,,,,,
SmartHR,ENTP,"INFJ, ENFP, INTJ",https://smarthr.jp/,HRテック,中規模,データドリブン・成長志向,フレックス制・リモート可,人事管理・データ分析,成果主義,,,,,,,,,,,
SUBARU,ISTP,"ESTP, ISTJ, ESTJ",https://www.subaru.co.jp/,自動車,大規模,技術志向・品質重視,フレックス制・リモート可,自動車技術・製造,年功序列＋成果評価,,,,,,,,,,,
TBSテレビ,ENFP,"INFJ, ENTP, ENTJ",https://www.tbs.co.jp/,放送・メディア,大規模,クリエイティブ・公共性,シフト制,番組制作・報道,年功序列,,,,,,,,,,,
TBSホールディングス,ENFP,"INFJ, ENTP, ENTJ",https://www.tbsholdings.co.jp/,放送・メディア,大規模,クリエイティブ・公共性,フレックス制・一部リモート可,メディア経営・企画,成果主義,,,,,,,,,,,
TBSラジオ,ENFP,"INFJ, ENTP, ENTJ",https://www.tbsradio.jp/,放送・メディア,中規模,クリエイティブ・公共性,シフト制,番組制作・音響,年功序列,,,,,,,,,,,
TDK,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tdk.com/ja/,電子部品,大規模,技術志向・品質重視,フレックス制・リモート可,電子回路・製造技術,年功序列＋成果評価,,,,,,,,,,,
TDKラムダ,ISTP,"ESTP, ISTJ, ESTJ",https://www.tdk-lambda.co.jp/,電子部品,中規模,技術志向・専門性重視,フレックス制・リモート可,電源技術・製品開発,成果主義,,,,,,,,,,,
THE SUIT COMPANY,ESTJ,"ENTP, ISTJ, ENTJ",https://www.uktsc.com/,アパレル,中規模,顧客志向・ブランド重視,シフト制,販売・マーケティング,成果主義,,,,,,,,,,,
TMI総合法律事務所,INTJ,"ENTP, INTP, INFJ",https://www.tmi.gr.jp/,法律事務所,大規模,プロフェッショナル・成果重視,フレックス制・リモート可,法律・コンサルティング,実力主義,,,,,,,,,,,
TOKYO FM,ENFP,"INFJ, ENTP, ENTJ",https://www.tfm.co.jp/,放送・メディア,中規模,クリエイティブ・公共性,シフト制,番組制作・音響,年功序列,,,,,,,,,,,
Trafigura Japan,INTJ,"ENTP, INTP, INFJ",https://www.trafigura.com/,商社（エネルギー・資源）,大規模,グローバル・データ志向,フレックス制・リモート可,トレーディング・貿易,成果主義,,,,,,,,,,,
ufotable,ENFP,"INFJ, ENTP, ENTJ",https://www.ufotable.com/,アニメ制作,小規模,クリエイティブ・成果主義,プロジェクト単位,アニメ制作・映像編集,成果主義,,,,,,,,,,,
U-NEXT,ENFP,"INFJ, ENTP, ENTJ",https://www.unext.co.jp/,エンターテインメント,中規模,イノベーション志向・自由,フレックス制・リモート可,コンテンツ企画・マーケティング,成果主義,,,,,,,,,,,
Unipos,INFJ,"ENFP, INTJ, ENTJ",https://unipos.me/ja/,HRテック,小規模,スタートアップ・データ活用,フレックス制・リモート可,組織分析・HRテック,実力主義,,,,,,,,,,,
UQコミュニケーションズ,ENTP,"INFJ, ENFP, INTJ",https://www.uqwimax.jp/,通信,大規模,技術志向・顧客志向,フレックス制・リモート可,通信技術・マーケティング,年功序列＋成果評価,,,,,,,,,,,
Wantedly,ENFP,"INFJ, ENTP, ENTJ",https://www.wantedly.com/,IT・採用プラットフォーム,中規模,イノベーション・成長志向,フレックス制・リモート可,HRテック・マーケティング,成果主義,,,,,,,,,,,
Wevox（組織エンゲージメント）,INFJ,"ENFP, INTJ, ENTJ",https://wevox.io/,HRテック,小規模,データドリブン・組織開発志向,フレックス制・リモート可,エンゲージメント分析・HR戦略,成果主義,,,,,,,,,,,
WIT STUDIO,INFJ,"ENFP, INTJ, ENTJ",https://www.witstudio.co.jp/,アニメ制作,中規模,クリエイティブ・成果主義,プロジェクト単位,アニメ制作・映像編集,成果主義,,,,,,,,,,,
Wovn Technologies,INTJ,"ENTP, INTP, INFJ",https://wovn.io/ja/,IT・ローカライズ,小規模,スタートアップ・技術志向,フレックス制・リモート可,翻訳技術・開発スキル,実力主義,,,,,,,,,,,
WOWOW,INFJ,"ENFP, INTJ, ENTJ",https://corporate.wowow.co.jp/,放送・メディア,中規模,エンターテインメント志向・革新性,フレックス制・リモート可,番組制作・企画力,成果主義,,,,,,,,,,,
Yahoo!ショッピング,ESTP,"ENTP, ESFP, ISTP",https://shopping.yahoo.co.jp/,Eコマース,大規模,顧客志向・データドリブン,フレックス制・リモート可,マーケティング・データ分析,成果主義,,,,,,,,,,,
ZOZOテクノロジーズ,ENFP,"INFJ, ENTP, ENTJ",https://tech.zozo.com/,ファッションテック,中規模,イノベーション志向・技術重視,フレックス制・リモート可,プログラミング・デザイン,成果主義,,,,,,,,,,,
Z会,INTJ,"ENTP, INTP, INFJ",https://www.zkai.co.jp/,教育,中規模,教育志向・品質重視,フレックス制・リモート可,教材開発・教育指導,年功序列＋成果評価,,,,,,,,,,,
アークランドサカモト,ESTJ,"ENTP, ISTJ, ENTJ",https://www.arclandsakamoto.co.jp/,小売（ホームセンター）,中規模,地域密着・サービス重視,シフト制,接客・商品知識,年功序列＋成果評価,,,,,,,,,,,
あいおいニッセイ同和損害保険,ISTJ,"ESTJ, ENTJ, ISTP",https://www.aioinissaydowa.co.jp/,保険,大規模,安定志向・チームワーク重視,フレックス制・リモート可,保険知識・リスクマネジメント,年功序列＋実力評価,,,,,,,,,,,
アイシン精機,ESTJ,"ENTP, ISTJ, ENTJ",https://www.aisin.com/jp/,自動車部品,大規模,技術志向・品質重視,フレックス制・リモート可,エンジニアリング・製造技術,年功序列＋成果評価,,,,,,,,,,,
アイティメディア,ISTP,"ESTP, ISTJ, ESTJ",https://corp.itmedia.co.jp/,メディア,中規模,情報志向・デジタル重視,フレックス制・リモート可,ライティング・編集,成果主義,,,,,,,,,,,
アイリスオーヤマ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.irisohyama.co.jp/,家電・日用品,大規模,イノベーション志向・顧客重視,フレックス制・リモート可,商品開発・マーケティング,成果主義,,,,,,,,,,,
アイレップ,ENTP,"INFJ, ENFP, INTJ",https://www.irep.co.jp/,デジタルマーケティング,中規模,データドリブン・成果重視,フレックス制・リモート可,マーケティング戦略・分析,成果主義,,,,,,,,,,,
あおぞら銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.aozorabank.co.jp/,金融,中規模,安定志向・顧客重視,フレックス制・リモート可,金融知識・営業力,年功序列＋成果評価,,,,,,,,,,,
アクセンチュア,ENTJ,"ESTJ, ENTP, INTJ",https://www.accenture.com/jp-ja,コンサルティング,大規模,プロフェッショナル・成果重視,フレックス制・リモート可,問題解決力・コミュニケーション,成果主義,,,,,,,,,,,
アサヒグループ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.asahigroup-holdings.com/,食品・飲料,大規模,品質志向・イノベーション,フレックス制・リモート可,商品開発・マーケティング,年功序列＋成果評価,,,,,,,,,,,
アステラス製薬,ISTJ,"ESTJ, ENTJ, ISTP",https://www.astellas.com/jp/,製薬,大規模,研究志向・倫理重視,フレックス制・リモート可,研究開発・医薬知識,成果主義,,,,,,,,,,,
アデコ（Adecco Japan）,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.adecco.co.jp/,人材サービス,大規模,顧客志向・多様性重視,フレックス制・リモート可,人材管理・営業力,成果主義,,,,,,,,,,,
アドウェイズ,ENFP,"INFJ, ENTP, ENTJ",https://www.adways.net/,デジタル広告,中規模,イノベーション志向・スピード重視,フレックス制・リモート可,広告運用・分析力,成果主義,,,,,,,,,,,
アパホテル,ESTP,"ENTP, ESFP, ISTP",https://www.apahotel.com/,ホテル,大規模,サービス志向・効率重視,シフト制,接客・マネジメント,成果主義,,,,,,,,,,,
アビームコンサルティング,ENTJ,"ESTJ, ENTP, INTJ",https://www.abeam.com/jp/,コンサルティング,大規模,プロフェッショナル・チームワーク重視,フレックス制・リモート可,分析力・プロジェクト管理,成果主義,,,,,,,,,,,
アメリカン・エキスプレス・ジャパン,ENTJ,"ESTJ, ENTP, INTJ",https://www.americanexpress.com/jp/,金融,大規模,顧客志向・高品質サービス,フレックス制・リモート可,金融知識・カスタマーサービス,成果主義,,,,,,,,,,,
アリックスパートナーズ,ENTJ,"ESTJ, ENTP, INTJ",https://www.alixpartners.com/,コンサルティング,中規模,プロフェッショナル・成果重視,フレックス制・リモート可,経営戦略・問題解決力,成果主義,,,,,,,,,,,
アンダーソン・毛利・友常法律事務所,INTJ,"ENTP, INTP, INFJ",https://www.amt-law.com/,法律事務所,中規模,プロフェッショナル・倫理重視,フレックス制・リモート可,法律知識・分析力,成果主義,,,,,,,,,,,
アントレプレナーシップ・パートナーズ,ENFP,"INFJ, ENTP, ENTJ",https://www.entrepreneurship-partners.co.jp/,コンサルティング・スタートアップ支援,中規模,起業家支援・成長戦略,フレックス制,経営戦略・資金調達・マーケティング,成果主義,,,,,,,,,,,
イオン,ESFJ,"ENTP, ENFP, ESFP",https://www.aeon.info/,小売（総合スーパー）,大規模,顧客志向・地域密着,シフト制・一部リモート可,接客・商品管理,年功序列＋成果評価,,,,,,,,,,,
イオン銀行,ESFJ,"ENTP, ENFP, ESFP",https://www.aeonbank.co.jp/,金融（銀行）,中規模,顧客志向・サービス重視,フレックス制・リモート可,金融知識・コミュニケーション力,成果主義,,,,,,,,,,,
いきなりステーキ,ESFP,"ENTP, ENFP, ESFJ",https://ikinaristeak.com/,飲食（ステーキハウス）,中規模,顧客志向・スピード重視,シフト制,接客・調理スキル,成果主義,,,,,,,,,,,
いすゞプラザ,ISTP,"ESTP, ISTJ, ESTJ",https://www.isuzu.co.jp/plaza/,自動車（展示施設）,小規模,顧客志向・教育重視,シフト制,接客・プレゼンテーション力,成果主義,,,,,,,,,,,
いすゞ自動車,ISTJ,"ESTJ, ENTJ, ISTP",https://www.isuzu.co.jp/,自動車,大規模,技術志向・品質重視,フレックス制・リモート可,エンジニアリング・製造技術,年功序列＋成果評価,,,,,,,,,,,
